"","x"
"1","PSX00024256"
"2","PSX000247160"
"3","PSX000248715"
"4","PSX000254598"
"5","PSX000275072"
"6","PSX000297772"
"7","PSX00030492"
"8","PSX000237734"
"9","PSX000247012"
"10","PSX000257253"
"11","PSX000258519"
"12","PSX00026234"
"13","PSX000269553"
"14","PSX000278445"
"15","PSX000280238"
"16","PSX000291885"
"17","PSX000305183"
"18","PSX000312082"
"19","PSX000236251"
"20","PSX000237566"
"21","PSX000245882"
"22","PSX000246177"
"23","PSX000246885"
"24","PSX000250098"
"25","PSX000252656"
"26","PSX000256714"
"27","PSX000259189"
"28","PSX000264560"
"29","PSX000265331"
"30","PSX00026607"
"31","PSX000267520"
"32","PSX000268738"
"33","PSX000277253"
"34","PSX000281636"
"35","PSX000294035"
"36","PSX000314275"
"37","PSX000320531"
"38","PSX000323103"
"39","PSX000233907"
"40","PSX00023400"
"41","PSX00024162"
"42","PSX000243242"
"43","PSX000243279"
"44","PSX000243514"
"45","PSX000244469"
"46","PSX000245329"
"47","PSX000247438"
"48","PSX000250429"
"49","PSX000258877"
"50","PSX000259487"
"51","PSX000260867"
"52","PSX000261215"
"53","PSX00026528"
"54","PSX000265722"
"55","PSX000272487"
"56","PSX000276141"
"57","PSX000280010"
"58","PSX000290765"
"59","PSX000293915"
"60","PSX000294056"
"61","PSX000295978"
"62","PSX000296940"
"63","PSX000300412"
"64","PSX000310556"
"65","PSX000311915"
"66","PSX000319191"
"67","PSX00032166"
"68","PSX000240189"
"69","PSX000242384"
"70","PSX000246011"
"71","PSX000246899"
"72","PSX000247817"
"73","PSX000249358"
"74","PSX000249775"
"75","PSX00025206"
"76","PSX000253713"
"77","PSX000254005"
"78","PSX000254672"
"79","PSX000259616"
"80","PSX000264389"
"81","PSX000268068"
"82","PSX000271675"
"83","PSX000275004"
"84","PSX000283357"
"85","PSX00028424"
"86","PSX000286514"
"87","PSX000287878"
"88","PSX000294617"
"89","PSX000296124"
"90","PSX000296974"
"91","PSX000301540"
"92","PSX00030569"
"93","PSX000305902"
"94","PSX000306822"
"95","PSX000307037"
"96","PSX000307507"
"97","PSX000312814"
"98","PSX000320775"
"99","PSX00023438"
"100","PSX000234521"
"101","PSX000235131"
"102","PSX000238340"
"103","PSX0002386"
"104","PSX000240099"
"105","PSX000241358"
"106","PSX00024497"
"107","PSX000245273"
"108","PSX00024588"
"109","PSX00024650"
"110","PSX000248084"
"111","PSX000249290"
"112","PSX000254160"
"113","PSX000254991"
"114","PSX00025798"
"115","PSX000259617"
"116","PSX000263302"
"117","PSX000263687"
"118","PSX000266680"
"119","PSX00026687"
"120","PSX000267046"
"121","PSX000267214"
"122","PSX000269132"
"123","PSX000273766"
"124","PSX000274108"
"125","PSX000275739"
"126","PSX00027686"
"127","PSX000277819"
"128","PSX000280051"
"129","PSX000280886"
"130","PSX000284397"
"131","PSX000285041"
"132","PSX000286763"
"133","PSX000289627"
"134","PSX000291794"
"135","PSX000292709"
"136","PSX000293339"
"137","PSX000296214"
"138","PSX000296632"
"139","PSX000298970"
"140","PSX000300783"
"141","PSX000301914"
"142","PSX000307713"
"143","PSX000307768"
"144","PSX000309777"
"145","PSX000310132"
"146","PSX000310917"
"147","PSX000311893"
"148","PSX000315251"
"149","PSX000163446"
"150","PSX000234266"
"151","PSX000235818"
"152","PSX000235947"
"153","PSX000237433"
"154","PSX000238116"
"155","PSX000239274"
"156","PSX000239635"
"157","PSX000244415"
"158","PSX000247992"
"159","PSX000249528"
"160","PSX000251016"
"161","PSX000252560"
